System,Utterance,H:overall,S3_pyr,S3_resp,ROUGE_WE_1,ROUGE_WE_2,JS_1,JS_2,ROUGE_L,ROUGE_1,ROUGE_2,BLEU,Chrfpp,BERTScore,MoverScore
0,M0,1.0,0.10086177793784246,0.28674585442486666,0.2727272727272727,0.11475409836065574,-0.6252201608998255,-0.6931471805599454,0.19696969696969696,0.2727272727272727,0.01639344262295082,6.917184228205474,0.20608735807783027,0.5971236228942871,0.15028706118081203
0,M1,1.3333333333333333,0.04595854087631601,0.2416287829698479,0.13636363636363635,0.16393442622950818,-0.6541426042370553,-0.6807637792129464,0.13636363636363635,0.13636363636363635,0.01639344262295082,9.548450962056531,0.21628359478763645,0.6535500884056091,0.23277152704989632
0,M2,1.3333333333333333,0.049809125792197095,0.2475165995320593,0.18181818181818182,0.13114754098360656,-0.646325868288703,-0.6931471805599452,0.16666666666666666,0.18181818181818182,0.0,9.864703138979419,0.16274841527347977,0.5781170129776001,0.09034393652180514
0,M3,1.6666666666666667,0.06563590785948714,0.28490396230991366,0.18181818181818185,0.08196721311475409,-0.5905120821804895,-0.6659827856469157,0.18181818181818185,0.18181818181818185,0.03278688524590164,8.516593018819643,0.21387297603973723,0.605759859085083,0.1999196386982873
0,M4,1.3333333333333333,-0.008031005939362235,0.24110358010031896,0.10606060606060606,0.06557377049180328,-0.646325868288703,-0.6931471805599452,0.07575757575757576,0.10606060606060606,0.01639344262295082,9.027235033938242,0.12089345381989938,0.4774889349937439,-0.0034253838441152596
0,M5,1.0,0.05680125052635521,0.25755126891529767,0.25757575757575757,0.09836065573770492,-0.6656295233743981,-0.6931471805599452,0.21212121212121213,0.25757575757575757,0.0,3.2199657147289606,0.22393495014838055,0.5649014711380005,0.08454419558693879
0,M6,1.0,0.17505493230379832,0.3417675782776777,0.3333333333333333,0.14754098360655737,-0.6249417445705979,-0.683168340336333,0.2727272727272727,0.3484848484848485,0.06557377049180328,9.637411586929977,0.19872969838763008,0.6082512140274048,0.1475353961864922
0,M7,1.3333333333333333,0.15463865542544686,0.28806844078413374,0.2878787878787879,0.19672131147540983,-0.6081865157778348,-0.6931471805599451,0.24242424242424243,0.2878787878787879,0.0,3.4046992160182605,0.25452263235277395,0.5707016587257385,0.08524953998322568
1,M0,1.0,-0.032269418127243266,0.23101538300364666,0.14285714285714285,0.022727272727272728,-0.6714931311814684,-0.6931471805599452,0.12244897959183673,0.14285714285714285,0.0,3.681239801353981,0.17332089278429336,0.6078187227249146,0.1311807766484786
1,M1,2.0,0.10600892022086283,0.29727683058813215,0.2857142857142857,0.06818181818181818,-0.5819407020653115,-0.6931471805599452,0.2857142857142857,0.2857142857142857,0.0,5.865587580131999,0.1735182709447415,0.6528355479240417,0.25846800760221267
