System,Utterance,H:pyr,bert_f_score,bert_precision_score,bert_recall_score,js-2,mover_score,rouge_1_f_score,rouge_1_precision,rouge_1_recall,rouge_2_f_score,rouge_2_precision,rouge_2_recall,rouge_l_f_score,rouge_l_precision,rouge_l_recall
0,M0,0.0,0.08184881508350372,0.07939083129167557,0.08131910860538483,-0.6736121842701409,0.14581509020801464,0.2,0.20513,0.19512,0.02564,0.02632,0.025,0.2,0.20513,0.19512
0,M1,0.1,0.22632595896720886,0.24756841361522675,0.20276117324829102,-0.6561774994235408,0.15511929846559558,0.27586,0.26087,0.29268,0.04706,0.04444,0.05,0.25287,0.23913,0.26829
0,M2,0.5,0.29051172733306885,0.22978970408439636,0.3503088057041168,-0.4462599318848358,0.36053729481512353,0.49382,0.5,0.4878,0.35443,0.35897,0.35,0.49382,0.5,0.4878
0,M3,0.2,0.2265099585056305,0.2715253531932831,0.17979632318019867,-0.6148303544837772,0.2040342292517625,0.2,0.31579,0.14634,0.10345,0.16667,0.075,0.2,0.31579,0.14634
0,M4,0.1,0.2059704214334488,0.20249265432357788,0.2068650871515274,-0.5807449350637378,0.21283264766894172,0.34883,0.33333,0.36585,0.14286,0.13636,0.15,0.32558,0.31111,0.34146
0,M5,0.0,0.14434365928173065,0.17438729107379913,0.11190211772918701,-0.6746623399917429,0.10910557442417024,0.18824,0.18182,0.19512,0.0241,0.02326,0.025,0.1647,0.15909,0.17073
0,M6,0.6,0.5088735222816467,0.4588623642921448,0.5581883788108826,-0.39140130543242824,0.4072739389773917,0.6,0.50847,0.73171,0.42857,0.36207,0.525,0.58,0.49153,0.70732
0,M7,0.1,0.155961275100708,0.14194568991661072,0.16729110479354858,-0.6592449562547389,0.1940956059326866,0.23913,0.21569,0.26829,0.04444,0.04,0.05,0.23913,0.21569,0.26829
0,M8,0.1,0.3035416603088379,0.35865020751953125,0.24735379219055176,-0.6240829051910517,0.23017913926857547,0.26865,0.34615,0.21951,0.09231,0.12,0.075,0.26865,0.34615,0.21951
0,M9,0.0,0.21363580226898193,0.22061167657375336,0.2041272521018982,-0.5981905464541339,0.2213893614733229,0.30952,0.30233,0.31707,0.12195,0.11905,0.125,0.28571,0.27907,0.29268
0,M10,0.0,0.07890027016401291,0.14101603627204895,0.015367201529443264,-0.650964821625835,0.18825121353213636,0.28571,0.30556,0.26829,0.08,0.08571,0.075,0.28571,0.30556,0.26829
0,M11,0.3,0.3652464747428894,0.2921496331691742,0.4382857084274292,-0.5373523012394279,0.26246902821487494,0.37255,0.31148,0.46341,0.18,0.15,0.225,0.37255,0.31148,0.46341
0,M12,0.0,0.04956204444169998,0.19558605551719666,-0.09129060059785843,-0.6657315647705958,0.1447922793664549,0.13115,0.2,0.09756,0.0339,0.05263,0.025,0.13115,0.2,0.09756
0,M13,0.6,0.4592532217502594,0.45725420117378235,0.45949289202690125,-0.43723839814143284,0.3675891089026402,0.55173,0.52174,0.58537,0.37647,0.35556,0.4,0.55173,0.52174,0.58537
0,M14,0.2,0.24148403108119965,0.12857043743133545,0.3569549322128296,-0.5544413063004809,0.1992892264002769,0.33846,0.24719,0.53659,0.1875,0.13636,0.3,0.33846,0.24719,0.53659
0,M15,0.0,0.051134321838617325,0.03647895157337189,0.06276945024728775,-0.6779144382668522,0.15475456797375253,0.24528,0.2,0.31707,0.01923,0.01562,0.025,0.22642,0.18462,0.29268
0,M16,0.5,0.15687242150306702,0.03152858838438988,0.28580716252326965,-0.5255870153359197,0.23504526723263186,0.36539,0.30159,0.46341,0.2353,0.19355,0.3,0.34615,0.28571,0.43902
0,M17,0.0,0.2020019292831421,0.16312605142593384,0.23883503675460815,-0.5937319228463809,0.21050614185980177,0.27957,0.25,0.31707,0.13187,0.11765,0.15,0.27957,0.25,0.31707
0,M18,0.5,0.2389868199825287,0.13882668316364288,0.3405941128730774,-0.5319043269985564,0.24822012767568102,0.36036,0.28571,0.4878,0.22018,0.17391,0.3,0.34234,0.27143,0.46341
0,M19,0.5,0.17013965547084808,0.11457187682390213,0.2241784781217575,-0.5822381371507324,0.2398715485421774,0.30588,0.29545,0.31707,0.14458,0.13953,0.15,0.25882,0.25,0.26829
0,M20,0.5,0.262306809425354,0.22962696850299835,0.2929690182209015,-0.537733013952028,0.23128855682652905,0.36539,0.30159,0.46341,0.21569,0.17742,0.275,0.34615,0.28571,0.43902
0,M21,0.5,0.262306809425354,0.22962696850299835,0.2929690182209015,-0.537733013952028,0.22981401434612225,0.36539,0.30159,0.46341,0.21569,0.17742,0.275,0.34615,0.28571,0.43902
0,M22,0.5,0.2098470777273178,0.1926938146352768,0.22452512383460999,-0.5902440941934322,0.2356294026691529,0.31111,0.28571,0.34146,0.13636,0.125,0.15,0.28889,0.26531,0.31707
0,M23,0.5,0.262306809425354,0.22962696850299835,0.2929690182209015,-0.537733013952028,0.23070908029398374,0.36539,0.30159,0.46341,0.21569,0.17742,0.275,0.34615,0.28571,0.43902
0,M24,0.6,0.5088735222816467,0.4588623642921448,0.5581883788108826,-0.39140130543242824,0.4072739389773917,0.6,0.50847,0.73171,0.42857,0.36207,0.525,0.58,0.49153,0.70732
1,M0,0.09090909090909091,0.11538154631853104,0.09089934825897217,0.13719411194324493,-0.6210661888015012,0.2548014400494565,0.42202,0.35385,0.52273,0.09345,0.07812,0.11628,0.34863,0.29231,0.43182
1,M1,0.2727272727272727,0.29901376366615295,0.23760047554969788,0.3595608174800873,-0.5912681906612165,0.31388350671217635,0.46729,0.39683,0.56818,0.13333,0.1129,0.16279,0.42991,0.36508,0.52273
1,M2,0.4545454545454545,0.348408043384552,0.3572571575641632,0.3374764025211334,-0.6096050478452113,0.30336865246030364,0.45834,0.42308,0.5,0.12766,0.11765,0.13953,0.41667,0.38462,0.45455
