System,Utterance,H:mlqe,XBERTScore,XMoverScore (UMD),XMoverScore (CLP),Unsupervised XMoverScore,Unsupervised ContrastScore,Unsupervised XmoverScore + ContrastScore,Fine-tuned XMoverScore,Fine-tuned ContrastScore,Fine-tuned XMoverScore + ContrastScore
0,en-de,0.34937092778329654,0.47274330258369446,-1.221877198124709,-1.221877198124709,-1.2721642646748426,0.8473774790763855,-0.42434757947921753,-0.9777416140775216,0.9070784449577332,-0.22381356358528137
0,en-zh,-3.6946830223475744,0.43270206451416016,-1.5092921872625085,-1.5092921872625085,-1.4074391413096645,0.7600648999214172,-0.5404374599456787,-1.1471965972227478,0.7782843708992004,-0.3770042061805725
0,ru-en,0.7491826678087733,0.7206296920776367,-1.2177158758704614,-1.2177158758704614,-1.1881066482560803,0.8086646795272827,-0.38939809799194336,-0.8470663935587326,0.8926548957824707,-0.15117791295051575
0,ro-en,0.3482595110794005,0.8290852904319763,-1.3372628515258353,-1.3372628515258353,-1.3386276640316834,0.6927212476730347,-0.5260881185531616,-0.9495594461982997,0.8696802258491516,-0.2218635380268097
0,et-en,0.08392866767334378,0.3829597532749176,-1.5459892421392825,-1.5459892421392825,-1.4129162733334482,0.8842587471008301,-0.49404627084732056,-1.162448229490558,0.9170911312103271,-0.3306324779987335
0,ne-en,1.1254918657555038,0.5667888522148132,-1.6991693325503563,-1.6991693325503563,-1.520051290026398,0.9146777987480164,-0.5461596250534058,-1.2126404952495284,0.9080190658569336,-0.36437666416168213
0,si-en,-1.2464992832642146,0.5300140976905823,-2.0261967364526687,-2.0261967364526687,-1.797400943232021,0.4697621166706085,-0.8905357122421265,-1.1816589523465133,0.8441283106803894,-0.3713440001010895
1,en-de,0.3924345653857603,0.6007393598556519,-0.990359656680766,-0.990359656680766,-0.9927626870382352,0.9158003330230713,-0.22933745384216309,-0.7237129425635804,0.928966760635376,-0.06264105439186096
1,en-zh,0.7718103776292801,0.4563679099082947,-1.6400434168309919,-1.6400434168309919,-1.4741822951130956,0.8418834209442139,-0.547756016254425,-1.2647763478519036,0.7401918172836304,-0.4627890884876251
1,ru-en,0.5006809339545545,0.5548313856124878,-1.6456129585666661,-1.6456129585666661,-1.5767183701768952,0.8606356978416443,-0.6017767190933228,-1.4431228893650516,0.819938600063324,-0.5378983020782471
1,ro-en,0.7724938334518013,0.779268205165863,-1.395627053933906,-1.395627053933906,-1.2140717267609473,0.8845914602279663,-0.3746064305305481,-1.0396917843418922,0.9114913940429688,-0.2592184841632843
1,et-en,-0.09882816111233976,0.3589535057544708,-1.5485131035347603,-1.5485131035347603,-1.3687601609565292,0.7001346945762634,-0.541202187538147,-1.1634922661349978,0.852056086063385,-0.3572729527950287
1,ne-en,-0.5618163667357666,0.5803617238998413,-1.8257625224651886,-1.8257625224651886,-1.6314017147657105,0.73088538646698,-0.6864868402481079,-1.3743736254857741,0.7942317724227905,-0.5069314241409302
1,si-en,1.3681050842913205,0.7835917472839355,-1.935196797439304,-1.935196797439304,-1.7549305536773407,0.8631775379180908,-0.7076873779296875,-0.9506913231877633,0.8502678275108337,-0.23030763864517212
2,en-de,0.6450339478547201,0.6189213991165161,-0.9616341381834254,-0.9616341381834254,-1.1100287960729172,0.9186862111091614,-0.2985427975654602,-0.6272040394645964,0.9491373896598816,0.0033325552940368652
2,en-zh,1.2301196944278665,0.5225058197975159,-0.9679236791673714,-0.9679236791673714,-0.9601485312159027,0.80511873960495,-0.2540416419506073,-0.5835014359109714,0.8088397979736328,-0.026564955711364746
2,ru-en,0.09359117106622557,0.6996628642082214,-1.4775154902192766,-1.4775154902192766,-1.3211916310667782,0.8450499176979065,-0.4546949863433838,-0.9898977063844976,0.8835705518722534,-0.24051043391227722
2,ro-en,0.7230158221898318,0.7977957725524902,-1.2947641159619026,-1.2947641159619026,-1.1913901744353461,0.6338415145874023,-0.46129748225212097,-0.9076908792513627,0.8963525891304016,-0.18607351183891296
