System,Utterance,H:pyr,H:resp,S3_pyr,S3_resp,ROUGE_WE_1,ROUGE_WE_2,JS_1,JS_2,ROUGE_L,ROUGE_1,ROUGE_2,BLEU,Chrfpp,BERTScore,MoverScore
37,M16,0.25,0.6,0.35749326430637707,0.4725402216625688,0.3891625615763547,0.19154228855721395,-0.4343524083252296,-0.6047822932183734,0.2044334975369458,0.3916256157635469,0.12935323383084577,19.815964704388197,0.3647384848682103,0.5799242854118347,0.16266575798128258
37,M17,0.0,0.2,0.29979747193741124,0.435469152474076,0.35714285714285715,0.1691542288557214,-0.458833149503154,-0.6035508161524821,0.18472906403940886,0.352216748768473,0.11442786069651742,18.196686582703705,0.3074532994052435,0.5761536955833435,0.13231598397700892
37,M18,0.0,0.2,0.167506456467291,0.33790321402039303,0.2832512315270936,0.10945273631840796,-0.5413066211033501,-0.6639485910423404,0.13793103448275862,0.29310344827586204,0.03731343283582089,4.266630234879031,0.3593206804745045,0.5334879755973816,0.05653161998716727
37,M19,0.321,0.4,0.35957699865219583,0.4728452595160335,0.3694581280788177,0.21144278606965175,-0.43005530245149814,-0.5811106741374374,0.20935960591133004,0.37192118226600984,0.13432835820895522,29.761394942909003,0.324838547698567,0.5945947766304016,0.1695167652899315
37,M20,0.286,0.4,0.35361042201430515,0.46650330848408705,0.39655172413793105,0.17661691542288557,-0.4321816113737828,-0.6049384176726958,0.18719211822660098,0.40147783251231534,0.11691542288557213,9.144290955305035,0.37922958901452597,0.589290201663971,0.18416799466546027
37,M21,0.179,0.4,0.4032411072531721,0.5064263110570482,0.39901477832512317,0.2064676616915423,-0.4015300041623432,-0.5751895718289199,0.21674876847290642,0.4088669950738916,0.14427860696517414,24.92301389087859,0.339546346133878,0.5936250686645508,0.16304590324891152
37,M22,0.036,0.4,0.2536688485735036,0.40615837731597915,0.31527093596059114,0.15671641791044777,-0.5014205507171927,-0.6176012606065843,0.18226600985221672,0.3275862068965517,0.10199004975124377,20.913122799229864,0.3757195473451841,0.5709606409072876,0.14168112817340636
37,M23,0.0,0.2,0.0974457276828875,0.3040765720252864,0.229064039408867,0.07711442786069651,-0.5952527248892335,-0.6797938745329468,0.1330049261083744,0.24876847290640394,0.02736318407960199,4.044871011878079,0.31496252875290676,0.4964851140975952,0.03042815406163074
37,M24,0.286,0.6,0.40450417322343346,0.5136728715859674,0.4187192118226601,0.208955223880597,-0.4132448487844354,-0.56875659183159,0.22660098522167488,0.4187192118226601,0.15920398009950248,29.572569754405276,0.3907516239106673,0.6094777584075928,0.20936443756675624
37,M25,0.286,0.4,0.3582972526170354,0.47655872609483185,0.36699507389162567,0.20149253731343283,-0.4334515934774489,-0.5839402223760439,0.2044334975369458,0.3768472906403941,0.13681592039800994,26.46739866444922,0.3419816363622729,0.5961647033691406,0.16834644886407507
